dataset,weight_mode,label_mode,metric,best,median,mean,worst
electricity,pretrained,na,CSS_seasonality_bal_acc,0.75,0.75,0.75,0.75
electricity,pretrained,na,CSS_seasonality_margin,0.6203674299662255,0.6203674299662255,0.6203674299662255,0.6203674299662255
electricity,pretrained,na,CSS_seasonality_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
electricity,pretrained,na,CSS_trend_bal_acc,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
electricity,pretrained,na,CSS_trend_margin,0.5797102134542785,0.5797102134542785,0.5797102134542785,0.5797102134542785
electricity,pretrained,na,CSS_trend_pvalue,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
electricity,pretrained,na,CSS_volatility_bal_acc,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.6730769230769231
electricity,pretrained,na,CSS_volatility_margin,0.6233359801155482,0.6233359801155482,0.6233359801155482,0.6233359801155482
electricity,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
electricity,pretrained,na,FSS_pearson_h192_ci_high,0.004899082356132567,0.004899082356132567,0.004899082356132567,0.004899082356132567
electricity,pretrained,na,FSS_pearson_h192_ci_low,-0.0184394147247076,-0.0184394147247076,-0.0184394147247076,-0.0184394147247076
electricity,pretrained,na,FSS_pearson_h192_pvalue,0.3919998109340668,0.3919998109340668,0.3919998109340668,0.3919998109340668
electricity,pretrained,na,FSS_pearson_h192_raw_corr,0.006064051296561956,0.006064051296561956,0.006064051296561956,0.006064051296561956
electricity,pretrained,na,FSS_pearson_h192_score,-0.006064051296561956,-0.006064051296561956,-0.006064051296561956,-0.006064051296561956
electricity,pretrained,na,FSS_pearson_h336_ci_high,0.017794662294909357,0.017794662294909357,0.017794662294909357,0.017794662294909357
electricity,pretrained,na,FSS_pearson_h336_ci_low,-0.004327891441062089,-0.004327891441062089,-0.004327891441062089,-0.004327891441062089
electricity,pretrained,na,FSS_pearson_h336_pvalue,0.28333958983421326,0.28333958983421326,0.28333958983421326,0.28333958983421326
electricity,pretrained,na,FSS_pearson_h336_raw_corr,-0.0076013533398509026,-0.0076013533398509026,-0.0076013533398509026,-0.0076013533398509026
electricity,pretrained,na,FSS_pearson_h336_score,0.0076013533398509026,0.0076013533398509026,0.0076013533398509026,0.0076013533398509026
electricity,pretrained,na,FSS_pearson_h720_ci_high,0.00998206315562129,0.00998206315562129,0.00998206315562129,0.00998206315562129
electricity,pretrained,na,FSS_pearson_h720_ci_low,-0.014321982651017605,-0.014321982651017605,-0.014321982651017605,-0.014321982651017605
electricity,pretrained,na,FSS_pearson_h720_pvalue,0.853570282459259,0.853570282459259,0.853570282459259,0.853570282459259
electricity,pretrained,na,FSS_pearson_h720_raw_corr,0.0013075493043288589,0.0013075493043288589,0.0013075493043288589,0.0013075493043288589
electricity,pretrained,na,FSS_pearson_h720_score,-0.0013075493043288589,-0.0013075493043288589,-0.0013075493043288589,-0.0013075493043288589
