dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
csi800,0,0.0,7.9262185,6.557415,8.732627,3.7584636
csi800,11,0.0033444816053511705,10.053321,9.941819,8.734781,3.71791
csi800,23,0.006688963210702341,9.915867,10.164542,8.958237,3.9734247
csi800,35,0.010033444816053512,9.895188,10.223851,9.101466,4.20264
csi800,47,0.013377926421404682,10.01444,10.319857,9.053043,4.0725546
csi800,59,0.016722408026755852,10.007081,10.280868,8.779922,3.8197448
csi800,70,0.020066889632107024,10.039073,10.233267,9.057812,4.203205
csi800,82,0.023411371237458192,7.848991,6.51313,8.941056,3.794628
csi800,94,0.026755852842809364,10.025686,10.292143,8.747681,3.7262998
csi800,106,0.030100334448160536,10.034543,10.426533,8.806974,3.8085072
csi800,118,0.033444816053511704,9.817877,10.234139,9.08884,4.0865364
csi800,130,0.03678929765886287,9.938254,10.161063,8.970105,3.8758483
csi800,141,0.04013377926421405,9.9678135,10.280413,8.76814,3.8394403
csi800,153,0.043478260869565216,9.632915,10.136236,9.072727,4.0013165
csi800,165,0.046822742474916385,9.41367,10.158692,8.756324,3.6805222
csi800,177,0.05016722408026756,9.512116,9.59443,9.045947,3.9022808
csi800,189,0.05351170568561873,9.327281,9.396195,8.530603,3.616798
csi800,201,0.056856187290969896,9.20369,9.205407,9.026094,4.135967
csi800,212,0.06020066889632107,10.215525,6.3082166,8.810414,3.877519
csi800,224,0.06354515050167224,9.711246,8.136609,9.019553,4.1684885
csi800,236,0.06688963210702341,8.892517,7.868012,8.856544,3.8203244
csi800,248,0.07023411371237458,10.0846815,6.371093,8.970363,3.9172235
csi800,260,0.07357859531772575,9.962691,7.520562,9.026128,3.9215567
csi800,272,0.07692307692307693,7.9401975,9.47393,8.45238,3.6637008
csi800,283,0.0802675585284281,8.567147,7.589841,9.074639,4.19161
csi800,295,0.08361204013377926,8.797813,8.163386,9.158913,4.124858
csi800,307,0.08695652173913043,7.626062,8.045929,8.413641,3.5836523
csi800,319,0.0903010033444816,7.518409,7.6225185,9.124404,4.2396326
csi800,331,0.09364548494983277,8.577182,3.9363484,8.75376,3.7858505
csi800,343,0.09698996655518395,6.7909737,4.880906,8.895943,3.8623981
csi800,354,0.10033444816053512,7.5573344,4.2843604,8.95429,3.845622
csi800,366,0.10367892976588629,10.077234,5.808197,9.128658,3.9539177
csi800,378,0.10702341137123746,9.135868,9.079247,8.970409,3.95802
csi800,390,0.11036789297658862,8.375007,9.357086,8.987334,4.0072107
csi800,402,0.11371237458193979,9.288416,8.591807,8.795059,3.7982798
csi800,414,0.11705685618729096,9.570742,8.164686,8.0214205,3.5908093
csi800,425,0.12040133779264214,8.9707365,7.932883,9.053795,4.1947174
csi800,437,0.12374581939799331,9.637726,8.14411,8.572925,3.7409377
csi800,449,0.12709030100334448,9.718671,7.7656193,9.119729,4.239933
csi800,461,0.13043478260869565,7.9464035,9.619908,8.6229725,3.659528
csi800,473,0.13377926421404682,9.670258,5.79192,8.991376,3.9112856
csi800,485,0.13712374581939799,8.699871,5.286816,8.132346,3.5102577
csi800,496,0.14046822742474915,8.721142,5.2352967,9.117827,4.145938
csi800,508,0.14381270903010032,8.714153,4.5614877,9.102913,4.092512
csi800,520,0.1471571906354515,8.359564,5.8723717,9.000218,3.9543946
csi800,532,0.1505016722408027,7.968592,6.87576,9.018443,3.9850252
csi800,544,0.15384615384615385,8.769249,6.053865,8.820903,3.8678164
csi800,555,0.15719063545150502,7.7062144,9.225334,8.979698,4.002118
csi800,567,0.1605351170568562,7.6976714,8.814896,8.954482,3.8448246
csi800,579,0.16387959866220736,7.9940543,8.180433,8.348912,3.5900817
csi800,591,0.16722408026755853,8.403291,6.69267,8.6868725,3.7822266
csi800,603,0.1705685618729097,9.58167,5.354092,9.099359,4.089518
csi800,615,0.17391304347826086,8.98363,7.4383063,9.083144,4.073218
csi800,626,0.17725752508361203,8.409728,6.2165785,8.62397,3.6058738
csi800,638,0.1806020066889632,8.531426,5.0028024,8.908141,3.8099315
csi800,650,0.18394648829431437,9.311438,5.585999,9.028785,4.1140256
csi800,662,0.18729096989966554,9.052768,8.465758,9.011068,4.159293
csi800,674,0.1906354515050167,9.032576,8.355312,8.924583,3.810379
csi800,686,0.1939799331103679,9.439101,8.410947,9.1399765,3.9678288
csi800,697,0.19732441471571907,9.330125,8.811147,8.511052,3.6008427
csi800,709,0.20066889632107024,9.703184,5.861863,9.019142,4.0698743
csi800,721,0.2040133779264214,8.588924,8.02136,8.644006,3.7558057
csi800,733,0.20735785953177258,10.066284,6.153554,9.026431,4.087297
csi800,745,0.21070234113712374,9.795096,5.610674,9.037745,3.996703
csi800,757,0.2140468227424749,8.6229725,7.4593983,8.9943495,3.9393494
csi800,768,0.21739130434782608,8.70965,5.7799478,9.086124,4.0959578
csi800,780,0.22073578595317725,9.040505,5.032159,8.797033,3.644709
csi800,792,0.22408026755852842,8.541071,7.5164957,8.489788,3.5848827
csi800,804,0.22742474916387959,8.565068,5.5926156,8.995319,4.105905
csi800,816,0.23076923076923075,8.880016,5.4124904,8.6548815,3.701296
csi800,828,0.23411371237458192,8.743576,5.722563,8.2792425,3.5577855
csi800,839,0.23745819397993312,8.69337,5.4776306,8.622287,3.748706
csi800,851,0.2408026755852843,8.469484,7.53647,8.429401,3.5792131
csi800,863,0.24414715719063546,8.4277935,7.3980947,8.812711,3.677316
csi800,875,0.24749163879598662,8.355281,7.1498246,8.77478,3.6224957
csi800,887,0.2508361204013378,7.4341006,9.225571,8.492307,3.6368036
csi800,899,0.25418060200668896,7.6209626,8.966373,8.947486,3.915093
csi800,910,0.25752508361204013,7.2207904,8.957898,8.865589,3.9172347
csi800,922,0.2608695652173913,7.3977685,9.407216,9.044058,4.1127787
csi800,934,0.26421404682274247,7.1870084,9.00254,8.884194,3.7834303
csi800,946,0.26755852842809363,7.179946,8.988324,8.94633,3.9086914
csi800,958,0.2709030100334448,7.7296305,9.721623,9.057334,3.985324
csi800,970,0.27424749163879597,9.627763,7.2392354,8.68596,3.7692342
csi800,981,0.27759197324414714,9.278971,7.69108,8.868258,3.8293595
csi800,993,0.2809364548494983,9.138915,7.39719,9.121831,4.174092
csi800,1005,0.2842809364548495,9.055188,7.3366485,8.998171,4.141271
csi800,1017,0.28762541806020064,8.783897,7.896607,9.06848,4.0327873
csi800,1029,0.2909698996655518,9.498908,7.288687,9.105785,4.123582
csi800,1040,0.294314381270903,9.315542,7.5865126,9.212631,4.202223
csi800,1052,0.29765886287625415,7.8764067,7.8578978,8.326697,3.5213265
csi800,1064,0.3010033444816054,8.02579,6.3611183,9.083035,4.098961
csi800,1076,0.30434782608695654,7.335927,7.919295,8.810963,3.8189325
csi800,1088,0.3076923076923077,7.438595,7.4105144,8.944557,3.8652215
csi800,1100,0.3110367892976589,7.8232627,5.362585,9.067465,4.0300484
csi800,1111,0.31438127090301005,7.350889,6.0653243,9.09658,3.9928076
csi800,1123,0.3177257525083612,7.238784,6.2425637,9.098499,4.09277
csi800,1135,0.3210702341137124,7.4228907,6.496689,8.939909,3.9902406
csi800,1147,0.32441471571906355,7.146235,6.719002,8.843557,3.8936596
csi800,1159,0.3277591973244147,7.83876,5.073317,8.380244,3.5561662
csi800,1171,0.3311036789297659,7.8855796,5.917377,8.266814,3.664412
csi800,1182,0.33444816053511706,7.6229706,6.5003905,9.143687,4.1604137
csi800,1194,0.3377926421404682,9.157918,6.1885114,9.088525,4.0860424
csi800,1206,0.3411371237458194,8.559484,6.1522264,8.888861,3.9038403
csi800,1218,0.34448160535117056,8.863815,6.376961,9.057348,4.204721
csi800,1230,0.34782608695652173,9.079965,6.3447685,9.067938,4.1565504
csi800,1242,0.3511705685618729,8.192189,7.927762,9.048938,4.100875
csi800,1253,0.35451505016722407,8.879087,5.6521807,8.744193,3.6168385
csi800,1265,0.35785953177257523,8.786035,5.6845174,9.027647,3.9933774
csi800,1277,0.3612040133779264,8.790358,5.407395,8.8893585,3.8381407
csi800,1289,0.36454849498327757,7.737894,8.935184,8.853834,3.8377361
csi800,1301,0.36789297658862874,7.4048667,10.079904,9.126183,4.0236487
csi800,1313,0.3712374581939799,7.4801183,10.196192,8.836985,3.8004272
csi800,1324,0.3745819397993311,7.490287,10.227612,8.929823,3.820434
csi800,1336,0.37792642140468224,7.2028437,9.893269,8.913468,3.956454
csi800,1348,0.3812709030100334,7.5457788,5.90863,8.862998,4.00961
csi800,1360,0.3846153846153846,7.6488776,6.249208,8.931171,3.9420292
csi800,1372,0.3879598662207358,7.961474,6.1808805,8.839211,3.838066
csi800,1384,0.391304347826087,7.448341,6.831103,8.916113,4.037872
csi800,1395,0.39464882943143814,8.36443,7.722893,9.050266,3.9544482
csi800,1407,0.3979933110367893,8.960628,5.8881907,8.884294,3.89223
csi800,1419,0.4013377926421405,8.341823,7.932304,8.869384,3.9089072
csi800,1431,0.40468227424749165,8.263999,7.128081,8.959622,4.0601597
csi800,1443,0.4080267558528428,8.135236,7.3664145,8.916596,3.8404818
csi800,1455,0.411371237458194,6.905401,9.615268,9.01133,3.9782186
csi800,1466,0.41471571906354515,6.606656,9.065363,9.042711,4.0472636
csi800,1478,0.4180602006688963,6.672544,9.109246,8.901029,3.8865676
csi800,1490,0.4214046822742475,6.9864864,9.816469,8.837418,3.9068718
csi800,1502,0.42474916387959866,7.6751175,10.242386,9.072613,4.140914
csi800,1514,0.4280936454849498,7.001943,6.604129,9.058676,3.9955301
csi800,1525,0.431438127090301,8.055937,5.546087,8.55089,3.7625082
csi800,1537,0.43478260869565216,7.212319,7.280074,8.99467,4.122179
csi800,1549,0.43812709030100333,6.875145,5.5696325,8.758446,3.7912016
csi800,1561,0.4414715719063545,7.425294,5.1035347,9.210514,4.180588
csi800,1573,0.44481605351170567,7.193441,5.403189,8.768477,3.7304685
csi800,1585,0.44816053511705684,7.142871,5.7378445,8.604498,3.7042232
