metric,csi300,csi800,delta_csi800_minus_csi300
CSS_seasonality_bal_acc,0.7479260935143288,0.6510180995475113,-0.09690799396681749
CSS_seasonality_margin,0.6586792853237712,0.6853827692493831,0.02670348392561195
CSS_seasonality_pvalue,0.0476190476190476,0.0476190476190476,0.0
CSS_trend_bal_acc,0.592948717948718,0.5441176470588236,-0.04883107088989436
CSS_trend_margin,0.6106678078851437,0.6360055453692642,0.025337737484120493
CSS_trend_pvalue,0.0476190476190476,0.2857142857142857,0.23809523809523808
CSS_volatility_bal_acc,0.6989064856711915,0.6018099547511313,-0.09709653092006021
CSS_volatility_margin,0.6533604132104289,0.6570902295405714,0.003729816330142466
CSS_volatility_pvalue,0.0476190476190476,0.0476190476190476,0.0
FSS_pearson_h192_ci_high,-0.0495248023850267,-0.0136571109068085,0.035867691478218194
FSS_pearson_h192_ci_low,-0.0839293539863542,-0.0415990848915188,0.04233026909483541
FSS_pearson_h192_pvalue,1.6429391444118324e-20,0.0001518225378141,0.00015182253781409997
FSS_pearson_h192_raw_corr,0.0656222109881971,0.0268013271949083,-0.038820883793288796
FSS_pearson_h192_score,-0.0656222109881971,-0.0268013271949083,0.038820883793288796
FSS_pearson_h336_ci_high,-0.0663238767820253,-0.0100470296194093,0.056276847162615995
FSS_pearson_h336_ci_low,-0.0935019335268043,-0.0351212377824946,0.0583806957443097
FSS_pearson_h336_pvalue,6.236776453132974e-29,0.0015050427008763,0.0015050427008763
FSS_pearson_h336_raw_corr,0.078878287991475,0.0224591876869744,-0.056419100304500605
FSS_pearson_h336_score,-0.078878287991475,-0.0224591876869744,0.056419100304500605
FSS_pearson_h720_ci_high,-0.0699552168463104,-0.0076989538768487,0.0622562629694617
FSS_pearson_h720_ci_low,-0.0984716482652504,-0.0318002259742611,0.0666714222909893
FSS_pearson_h720_pvalue,7.122805538661835e-32,0.0059915025696732,0.0059915025696732
FSS_pearson_h720_raw_corr,0.0830122812901169,0.0194489516448735,-0.06356332964524339
FSS_pearson_h720_score,-0.0830122812901169,-0.0194489516448735,0.06356332964524339
FSS_pearson_h96_ci_high,-0.0711232631072844,-0.0552809109685001,0.015842352138784294
FSS_pearson_h96_ci_low,-0.1019404038918702,-0.0847728736977831,0.017167530194087108
FSS_pearson_h96_pvalue,7.758807818611959e-35,8.84766621174231e-24,8.847666211664722e-24
FSS_pearson_h96_raw_corr,0.0869920548346632,0.0710778504278936,-0.015914204406769605
FSS_pearson_h96_score,-0.0869920548346632,-0.0710778504278936,0.015914204406769605
FSS_pearson_havg_ci_high,-0.0644522069682459,-0.0003424726202123,0.0641097343480336
FSS_pearson_havg_ci_low,-0.0926360698200789,-0.024349999968898,0.0682860698511809
FSS_pearson_havg_pvalue,4.155772783615387e-28,0.0912887699228713,0.0912887699228713
FSS_pearson_havg_raw_corr,0.0776816759344312,0.0119509596525623,-0.06573071628186891
FSS_pearson_havg_score,-0.0776816759344312,-0.0119509596525623,0.06573071628186891
FSS_spearman_h192_ci_high,-0.0447112449532337,-0.0432728961165996,0.0014383488366340944
FSS_spearman_h192_ci_low,-0.0717319215762514,-0.0717867940611899,-5.4872484938503496e-05
FSS_spearman_h192_pvalue,1.3500335241384889e-15,7.839914128066706e-16,-5.660421113318183e-16
FSS_spearman_h192_raw_corr,0.0564953854224572,0.0569664702788362,0.00047108485637899905
FSS_spearman_h192_score,-0.0564953854224572,-0.0569664702788362,-0.00047108485637899905
FSS_spearman_h336_ci_high,-0.0479944717455967,-0.0266772024300375,0.0213172693155592
FSS_spearman_h336_ci_low,-0.0753479170959141,-0.0533841596690547,0.021963757426859395
FSS_spearman_h336_pvalue,3.1426485624373838e-18,1.254267387414756e-08,1.2542673871004913e-08
FSS_spearman_h336_raw_corr,0.0615598572145779,0.0402702356903898,-0.021289621524188097
FSS_spearman_h336_score,-0.0615598572145779,-0.0402702356903898,0.021289621524188097
FSS_spearman_h720_ci_high,-0.0491554558532022,-0.0282486794484304,0.020906776404771798
FSS_spearman_h720_ci_low,-0.0762033695761799,-0.0556275663964705,0.020575803179709404
FSS_spearman_h720_pvalue,1.7003876625402691e-18,4.964927913612522e-09,4.964927911912134e-09
FSS_spearman_h720_raw_corr,0.0620495087877395,0.0413740972335819,-0.0206754115541576
FSS_spearman_h720_score,-0.0620495087877395,-0.0413740972335819,0.0206754115541576
FSS_spearman_h96_ci_high,-0.0352639960517805,-0.0314484714628009,0.003815524588979602
FSS_spearman_h96_ci_low,-0.0629731313907736,-0.0596269571179795,0.0033461742727940932
FSS_spearman_h96_pvalue,5.7360427452834576e-12,5.499714673528464e-11,4.926110399000118e-11
FSS_spearman_h96_raw_corr,0.0487158667032152,0.0463886631183713,-0.0023272035848438954
FSS_spearman_h96_score,-0.0487158667032152,-0.0463886631183713,0.0023272035848438954
FSS_spearman_havg_ci_high,-0.0514184459006251,-0.0243684575012385,0.0270499883993866
FSS_spearman_havg_ci_low,-0.080066517388168,-0.0513033787176204,0.028763138670547604
FSS_spearman_havg_pvalue,2.3705611717054892e-20,8.88232179785311e-08,8.88232179785074e-08
FSS_spearman_havg_raw_corr,0.0653559840145594,0.0378386310806923,-0.027517352933867104
FSS_spearman_havg_score,-0.0653559840145594,-0.0378386310806923,0.027517352933867104
LLS_avgk,0.2312158163936251,0.2328024141698369,0.0015865977762118122
LLS_k10,0.2860500638622087,0.2869397700539428,0.0008897061917340632
LLS_k20,0.2209232504395394,0.2220756080291686,0.0011523575896291993
LLS_k50,0.1866741348791273,0.1893918644263992,0.0027177295472718965
LTC_dir,-0.4718620777130127,-0.4899655878543854,-0.01810351014137268
LTC_step,4.239425182342529,4.3042192459106445,0.06479406356811523
MCS_k10,0.9902912621359224,0.9902912621359224,0.0
MCS_k20,0.9902912621359224,0.9902912621359224,0.0
MCS_k50,0.9902912621359224,0.9902912621359224,0.0
PDS_pearson_mae_h192_ci_high,0.0147595461178072,0.0308803835364638,0.0161208374186566
PDS_pearson_mae_h192_ci_low,-0.1542475268975348,-0.1272337304163638,0.027013796481171
PDS_pearson_mae_h192_pvalue,0.1095220846804402,0.2739842003723708,0.16446211569193062
PDS_pearson_mae_h192_raw_corr,0.0708101920591381,0.0484354867887701,-0.022374705270368007
PDS_pearson_mae_h192_score,-0.0708101920591381,-0.0484354867887701,0.022374705270368007
PDS_pearson_mae_h336_ci_high,0.0205832520329384,0.0282462847654691,0.007663032732530703
PDS_pearson_mae_h336_ci_low,-0.1298482739234741,-0.1378350172940074,-0.007986743370533317
PDS_pearson_mae_h336_pvalue,0.2458701293330431,0.2619600140182729,0.01608988468522979
PDS_pearson_mae_h336_raw_corr,0.0513763396441637,0.0496665150325884,-0.001709824611575303
PDS_pearson_mae_h336_score,-0.0513763396441637,-0.0496665150325884,0.001709824611575303
PDS_pearson_mae_h720_ci_high,0.055315394758956,0.0688572616397714,0.013541866880815406
PDS_pearson_mae_h720_ci_low,-0.0949032527670967,-0.0888206611073888,0.006082591659707898
PDS_pearson_mae_h720_pvalue,0.6452423738949061,0.9099150970131046,0.26467272311819845
PDS_pearson_mae_h720_raw_corr,0.0203939120336014,0.0041302619842246,-0.0162636500493768
PDS_pearson_mae_h720_score,-0.0203939120336014,-0.0041302619842246,0.0162636500493768
PDS_pearson_mae_h96_ci_high,0.0910413815676046,0.1077257885923626,0.016684407024758
PDS_pearson_mae_h96_ci_low,-0.0637303811227434,-0.0448845251809778,0.018845855941765605
PDS_pearson_mae_h96_pvalue,0.7381847046436765,0.4855573099284495,-0.252627394715227
PDS_pearson_mae_h96_raw_corr,-0.01480764867962,-0.0308888192916379,-0.0160811706120179
PDS_pearson_mae_h96_score,0.01480764867962,0.0308888192916379,0.0160811706120179
PDS_pearson_mae_havg_ci_high,-0.0366374956031491,0.0232608379948217,0.059898333597970796
PDS_pearson_mae_havg_ci_low,-0.1911717336707312,-0.1530141765034251,0.038157557167306094
PDS_pearson_mae_havg_pvalue,0.0081771425084793,0.184322963092456,0.17614582058397668
PDS_pearson_mae_havg_raw_corr,0.1167642088292251,0.0587634080835899,-0.0580008007456352
PDS_pearson_mae_havg_score,-0.1167642088292251,-0.0587634080835899,0.0580008007456352
PDS_pearson_mse_h192_ci_high,0.0498749810878573,0.055455534246711,0.005580553158853703
PDS_pearson_mse_h192_ci_low,-0.1254730866766893,-0.0983631880252601,0.027109898651429196
PDS_pearson_mse_h192_pvalue,0.4347840888578842,0.7002530444790506,0.26546895562116635
PDS_pearson_mse_h192_raw_corr,0.0345912484574872,0.0170542704964025,-0.0175369779610847
PDS_pearson_mse_h192_score,-0.0345912484574872,-0.0170542704964025,0.0175369779610847
PDS_pearson_mse_h336_ci_high,0.0263794629397746,0.0299128991454931,0.0035334362057184987
PDS_pearson_mse_h336_ci_low,-0.1116896519910847,-0.1204323173268842,-0.008742665335799496
PDS_pearson_mse_h336_pvalue,0.5970724575281836,0.624024352497978,0.026951894969794443
PDS_pearson_mse_h336_raw_corr,0.0234157375875642,0.0217125019465588,-0.0017032356410054024
PDS_pearson_mse_h336_score,-0.0234157375875642,-0.0217125019465588,0.0017032356410054024
PDS_pearson_mse_h720_ci_high,0.0533022163213066,0.0546111843538429,0.0013089680325363007
PDS_pearson_mse_h720_ci_low,-0.069219969708387,-0.0803312492404487,-0.011111279532061702
PDS_pearson_mse_h720_pvalue,0.976125156501774,0.93400641057828,-0.04211874592349396
PDS_pearson_mse_h720_raw_corr,-0.0013258454623433,-0.0036684626945509,-0.0023426172322076
PDS_pearson_mse_h720_score,0.0013258454623433,0.0036684626945509,0.0023426172322076
PDS_pearson_mse_h96_ci_high,0.0880976293843228,0.1027010903200799,0.014603460935757095
PDS_pearson_mse_h96_ci_low,-0.0596034276468101,-0.0288197867040897,0.0307836409427204
PDS_pearson_mse_h96_pvalue,0.7111731613063902,0.3866022296374692,-0.324570931668921
PDS_pearson_mse_h96_raw_corr,-0.0164032520008391,-0.0383427678680364,-0.0219395158671973
PDS_pearson_mse_h96_score,0.0164032520008391,0.0383427678680364,0.0219395158671973
PDS_pearson_mse_havg_ci_high,-0.0185225046331223,0.0432732006055849,0.0617957052387072
PDS_pearson_mse_havg_ci_low,-0.1743667663122632,-0.1399610148111911,0.034405751501072085
PDS_pearson_mse_havg_pvalue,0.0286676314472155,0.3072663632544397,0.27859873180722416
PDS_pearson_mse_havg_raw_corr,0.0967076705563055,0.0452085635045416,-0.051499107051763894
PDS_pearson_mse_havg_score,-0.0967076705563055,-0.0452085635045416,0.051499107051763894
PDS_spearman_mae_h192_ci_high,-0.008467165186768,0.0367866072500946,0.0452537724368626
PDS_spearman_mae_h192_ci_low,-0.1734650705424353,-0.1260457854058589,0.047419285136576395
PDS_spearman_mae_h192_pvalue,0.0333787104996671,0.3319653623320026,0.29858665183233546
PDS_spearman_mae_h192_raw_corr,0.0940444182659846,0.0429607480459138,-0.0510836702200708
PDS_spearman_mae_h192_score,-0.0940444182659846,-0.0429607480459138,0.0510836702200708
PDS_spearman_mae_h336_ci_high,0.0108416125859639,0.0090000178077045,-0.0018415947782593999
PDS_spearman_mae_h336_ci_low,-0.159431328380319,-0.1593941952551206,3.713312519840195e-05
PDS_spearman_mae_h336_pvalue,0.102250761948362,0.0881159308253821,-0.01413483112297989
PDS_spearman_mae_h336_raw_corr,0.0722971634279763,0.0754466252675066,0.0031494618395302987
PDS_spearman_mae_h336_score,-0.0722971634279763,-0.0754466252675066,-0.0031494618395302987
PDS_spearman_mae_h720_ci_high,0.0811729311742288,0.0993859291451035,0.018212997970874695
PDS_spearman_mae_h720_ci_low,-0.0828366635331593,-0.0651873884722923,0.017649275060866998
PDS_spearman_mae_h720_pvalue,0.9151148977571428,0.7508159985216125,-0.16429889923553032
PDS_spearman_mae_h720_raw_corr,0.0047221363912063,-0.0140681505418798,-0.018790286933086098
PDS_spearman_mae_h720_score,-0.0047221363912063,0.0140681505418798,0.018790286933086098
PDS_spearman_mae_h96_ci_high,0.0742664839627644,0.0795100073171893,0.005243523354424892
PDS_spearman_mae_h96_ci_low,-0.0915280003422844,-0.0914025084671368,0.00012549187514759863
PDS_spearman_mae_h96_pvalue,0.798558961940545,0.8312212609451202,0.03266229900457518
PDS_spearman_mae_h96_raw_corr,0.0113061799761961,0.0094422164143234,-0.0018639635618726991
PDS_spearman_mae_h96_score,-0.0113061799761961,-0.0094422164143234,0.0018639635618726991
PDS_spearman_mae_havg_ci_high,-0.0646193989509629,-0.0193910105429816,0.045228388407981296
PDS_spearman_mae_havg_ci_low,-0.2295223328050477,-0.1876031391888647,0.04191919361618299
PDS_spearman_mae_havg_pvalue,0.0008292644397806,0.0245761482948558,0.023746883855075198
PDS_spearman_mae_havg_raw_corr,0.1472874537943031,0.0993454669779471,-0.047941986816356
PDS_spearman_mae_havg_score,-0.1472874537943031,-0.0993454669779471,0.047941986816356
PDS_spearman_mse_h192_ci_high,-0.008467165186768,0.0367866072500946,0.0452537724368626
PDS_spearman_mse_h192_ci_low,-0.1734650705424353,-0.1260457854058589,0.047419285136576395
PDS_spearman_mse_h192_pvalue,0.0333787104996671,0.3319653623320026,0.29858665183233546
PDS_spearman_mse_h192_raw_corr,0.0940444182659846,0.0429607480459138,-0.0510836702200708
PDS_spearman_mse_h192_score,-0.0940444182659846,-0.0429607480459138,0.0510836702200708
PDS_spearman_mse_h336_ci_high,0.0108416125859639,0.0090000178077045,-0.0018415947782593999
PDS_spearman_mse_h336_ci_low,-0.159431328380319,-0.1593941952551206,3.713312519840195e-05
PDS_spearman_mse_h336_pvalue,0.102250761948362,0.0881159308253821,-0.01413483112297989
PDS_spearman_mse_h336_raw_corr,0.0722971634279763,0.0754466252675066,0.0031494618395302987
PDS_spearman_mse_h336_score,-0.0722971634279763,-0.0754466252675066,-0.0031494618395302987
PDS_spearman_mse_h720_ci_high,0.0811729311742288,0.0993859291451035,0.018212997970874695
PDS_spearman_mse_h720_ci_low,-0.0828366635331593,-0.0651873884722923,0.017649275060866998
PDS_spearman_mse_h720_pvalue,0.9151148977571428,0.7508159985216125,-0.16429889923553032
PDS_spearman_mse_h720_raw_corr,0.0047221363912063,-0.0140681505418798,-0.018790286933086098
PDS_spearman_mse_h720_score,-0.0047221363912063,0.0140681505418798,0.018790286933086098
PDS_spearman_mse_h96_ci_high,0.0742664839627644,0.0795100073171893,0.005243523354424892
PDS_spearman_mse_h96_ci_low,-0.0915280003422844,-0.0914025084671368,0.00012549187514759863
PDS_spearman_mse_h96_pvalue,0.798558961940545,0.8312212609451202,0.03266229900457518
PDS_spearman_mse_h96_raw_corr,0.0113061799761961,0.0094422164143234,-0.0018639635618726991
PDS_spearman_mse_h96_score,-0.0113061799761961,-0.0094422164143234,0.0018639635618726991
PDS_spearman_mse_havg_ci_high,-0.0660639432806464,-0.0110219195765535,0.0550420237040929
PDS_spearman_mse_havg_ci_low,-0.2261963546684715,-0.1794103544976122,0.04678600017085929
PDS_spearman_mse_havg_pvalue,0.0008942351849143,0.0374174205148547,0.0365231853299404
PDS_spearman_mse_havg_raw_corr,0.1463726382165459,0.0920057528238404,-0.0543668853927055
PDS_spearman_mse_havg_score,-0.1463726382165459,-0.0920057528238404,0.0543668853927055
TCS_avg,0.9989457527796428,0.9989380836486816,-7.669130961174275e-06
TCS_resample,0.9968372583389282,0.9968142509460448,-2.3007392883411804e-05
TCS_scale,1.0,1.0,0.0
TCS_shift,1.0,1.0,0.0
