dataset,model,metric,best,median,mean,worst
ett,UniTime,LTC_step,28.904094696044922,28.904094696044922,28.904094696044922,28.904094696044922
ett,UniTime,PDS_spearman_mae_h96_score,-0.14764858728552735,-0.14764858728552735,-0.14764858728552735,-0.14764858728552735
ett,UniTime,TSI_mask,1.0,1.0,1.0,1.0
ett,UniTime,TSI_noise,1.0,1.0,1.0,1.0
ett,UniTime,TSI_warp,0.0,0.0,0.0,0.0
ett,VisionTS,FSS_spearman_h96_score,-0.7023551329614158,-0.7023551329614158,-0.7023551329614158,-0.7023551329614158
ett,VisionTS,GSP_mask,0.0,0.0,0.0,0.0
ett,VisionTS,GSP_noise,0.0,0.0,0.0,0.0
ett,VisionTS,GSP_warp,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218
ett,VisionTS,LCS_clean,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218
ett,VisionTS,LCS_mask,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218
ett,VisionTS,LCS_noise,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218,-0.17086701095104218
ett,VisionTS,LCS_warp,0.0,0.0,0.0,0.0
ett,VisionTS,LTC_dir,-0.2534620761871338,-0.2534620761871338,-0.2534620761871338,-0.2534620761871338
ett,VisionTS,LTC_step,6.11023473739624,6.11023473739624,6.11023473739624,6.11023473739624
ett,VisionTS,PDS_spearman_mae_h96_score,-0.3218699931334401,-0.3218699931334401,-0.3218699931334401,-0.3218699931334401
ett,VisionTS,TSI_mask,1.0,1.0,1.0,1.0
ett,VisionTS,TSI_noise,1.0,1.0,1.0,1.0
ett,VisionTS,TSI_warp,0.0,0.0,0.0,0.0
ett,chronos-forecasting,FSS_spearman_h96_score,-0.18041388877443443,-0.18041388877443443,-0.18041388877443443,-0.18041388877443443
ett,chronos-forecasting,GSP_mask,0.0,0.0,0.0,0.0
ett,chronos-forecasting,GSP_noise,0.0,0.0,0.0,0.0
ett,chronos-forecasting,GSP_warp,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994
ett,chronos-forecasting,LCS_clean,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994
ett,chronos-forecasting,LCS_mask,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994
ett,chronos-forecasting,LCS_noise,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994,-0.037173330783843994
ett,chronos-forecasting,LCS_warp,0.0,0.0,0.0,0.0
ett,chronos-forecasting,LTC_dir,-0.46521368622779846,-0.46521368622779846,-0.46521368622779846,-0.46521368622779846
ett,chronos-forecasting,LTC_step,0.2115270495414734,0.2115270495414734,0.2115270495414734,0.2115270495414734
ett,chronos-forecasting,PDS_spearman_mae_h96_score,0.3488834687571526,0.3488834687571526,0.3488834687571526,0.3488834687571526
ett,chronos-forecasting,TSI_mask,1.0,1.0,1.0,1.0
ett,chronos-forecasting,TSI_noise,1.0,1.0,1.0,1.0
ett,chronos-forecasting,TSI_warp,0.0,0.0,0.0,0.0
ett,moment,FSS_spearman_h96_score,-0.028856013007879877,-0.028856013007879877,-0.028856013007879877,-0.028856013007879877
ett,moment,GSP_mask,0.0,0.0,0.0,0.0
ett,moment,GSP_noise,0.0,0.0,0.0,0.0
ett,moment,GSP_warp,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144,-0.04692818969488144
