dataset,model,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
traffic,time-moe,na,na,na,na,0.0,0.0,0.0,success,1.0
traffic,time-moe,na,na,na,na,0.0,0.0,0.0,elapsed_sec,3796.3462
