model,metric,csi300,csi800,delta_csi800_minus_csi300
lstm,FSS_baseline_cmp,-0.7433397427274265,-0.7900812549720383,-0.04674151224461176
lstm,FSS_baseline_cmp_pvalue,0.0,0.0,0.0
lstm,LTC_dir_baseline_cmp,-0.3868377208709717,-0.393703430891037,-0.006865710020065308
lstm,LTC_step_baseline_cmp,0.0732343792915344,0.0723375380039215,-0.0008968412876129012
lstm,PDS_baseline_cmp,-0.0645345516847515,-0.0664016166586126,-0.0018670649738611045
lstm,PDS_baseline_cmp_pvalue,0.5172200469613734,0.5051462626728818,-0.012073784288491596
tcn,FSS_baseline_cmp,-0.6311916827799722,-0.6211992491283129,0.00999243365165925
tcn,FSS_baseline_cmp_pvalue,0.0,0.0,0.0
tcn,LTC_dir_baseline_cmp,-0.4115018844604492,-0.423762172460556,-0.012260288000106756
tcn,LTC_step_baseline_cmp,0.4432720839977264,0.4501281380653381,0.006856054067611694
tcn,PDS_baseline_cmp,-0.6491565259412204,-0.6770636559328735,-0.027907129991653123
tcn,PDS_baseline_cmp_pvalue,1.204189868994667e-13,4.1056585649939116e-15,-1.163133283344728e-13
transformer,FSS_baseline_cmp,-0.6001757106779296,-0.5817595182416297,0.018416192436299883
transformer,FSS_baseline_cmp_pvalue,0.0,0.0,0.0
transformer,LTC_dir_baseline_cmp,-0.2150210887193679,-0.309594452381134,-0.09457336366176608
transformer,LTC_step_baseline_cmp,7.232937812805176,7.428196430206299,0.19525861740112305
transformer,PDS_baseline_cmp,-0.5557813117778853,-0.4771449281729122,0.07863638360497305
transformer,PDS_baseline_cmp_pvalue,1.1011937090984275e-09,3.474377917668781e-07,3.463365980577797e-07
tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5718325791855203,0.572209653092006,0.00037707390648566985
tsfm_pretrained,CSS_layer0_seasonality_margin,0.5087334488856696,0.5122630942641896,0.0035296453785199633
tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.1089108910891089,0.0891089108910891,-0.019801980198019792
tsfm_pretrained,CSS_layer0_trend_bal_acc,0.4177978883861237,0.4956636500754148,0.0778657616892911
tsfm_pretrained,CSS_layer0_trend_margin,0.5063697226781078,0.5129351038060769,0.0065653811279691165
tsfm_pretrained,CSS_layer0_trend_pvalue,0.9405940594059404,0.5445544554455446,-0.39603960396039584
tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.5145173453996983,0.5241327300150829,0.009615384615384581
tsfm_pretrained,CSS_layer0_volatility_margin,0.5057588175687534,0.5042702614032364,-0.0014885561655170187
tsfm_pretrained,CSS_layer0_volatility_pvalue,0.3267326732673267,0.3564356435643564,0.02970297029702973
tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.6600678733031675,0.6894796380090498,0.02941176470588225
tsfm_pretrained,CSS_layer12_seasonality_margin,0.585585065517157,0.608039601466168,0.022454535949010923
tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.0099009900990099,0.0099009900990099,0.0
tsfm_pretrained,CSS_layer12_trend_bal_acc,0.4766214177978883,0.5437405731523379,0.06711915535444962
tsfm_pretrained,CSS_layer12_trend_margin,0.548022902315035,0.5628292462778777,0.014806343962842639
tsfm_pretrained,CSS_layer12_trend_pvalue,0.6732673267326733,0.1881188118811881,-0.48514851485148525
tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7183257918552036,0.7469834087481146,0.02865761689291102
tsfm_pretrained,CSS_layer12_volatility_margin,0.5859126943235788,0.5757898414446803,-0.01012285287889858
