dataset,model,metric,best,median,mean,worst
traffic,UniTime,LCS_warp,0.0,0.0,0.0,0.0
traffic,UniTime,LTC_dir,-0.4967189431190491,-0.4967189431190491,-0.4967189431190491,-0.4967189431190491
traffic,UniTime,LTC_step,3.859849214553833,3.859849214553833,3.859849214553833,3.859849214553833
traffic,UniTime,PDS_spearman_mae_h96_score,0.12060897802700844,0.12060897802700844,0.12060897802700844,0.12060897802700844
traffic,UniTime,TSI_mask,1.0,1.0,1.0,1.0
traffic,UniTime,TSI_noise,1.0,1.0,1.0,1.0
traffic,UniTime,TSI_warp,0.0,0.0,0.0,0.0
traffic,VisionTS,FSS_spearman_h96_score,-0.5587780216034266,-0.5587780216034266,-0.5587780216034266,-0.5587780216034266
traffic,VisionTS,GSP_mask,0.0,0.0,0.0,0.0
traffic,VisionTS,GSP_noise,0.0,0.0,0.0,0.0
traffic,VisionTS,GSP_warp,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743
traffic,VisionTS,LCS_clean,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743
traffic,VisionTS,LCS_mask,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743
traffic,VisionTS,LCS_noise,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743,-0.05202900618314743
traffic,VisionTS,LCS_warp,0.0,0.0,0.0,0.0
traffic,VisionTS,LTC_dir,-0.13869938254356384,-0.13869938254356384,-0.13869938254356384,-0.13869938254356384
traffic,VisionTS,LTC_step,1.203405737876892,1.203405737876892,1.203405737876892,1.203405737876892
traffic,VisionTS,PDS_spearman_mae_h96_score,0.14891494048981457,0.14891494048981457,0.14891494048981457,0.14891494048981457
traffic,VisionTS,TSI_mask,1.0,1.0,1.0,1.0
traffic,VisionTS,TSI_noise,1.0,1.0,1.0,1.0
traffic,VisionTS,TSI_warp,0.0,0.0,0.0,0.0
traffic,chronos-forecasting,FSS_spearman_h96_score,-0.11676919566599517,-0.11676919566599517,-0.11676919566599517,-0.11676919566599517
traffic,chronos-forecasting,GSP_mask,0.0,0.0,0.0,0.0
traffic,chronos-forecasting,GSP_noise,0.0,0.0,0.0,0.0
traffic,chronos-forecasting,GSP_warp,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487
traffic,chronos-forecasting,LCS_clean,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487
traffic,chronos-forecasting,LCS_mask,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487
traffic,chronos-forecasting,LCS_noise,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487,-0.03938446193933487
traffic,chronos-forecasting,LCS_warp,0.0,0.0,0.0,0.0
traffic,chronos-forecasting,LTC_dir,-0.6132528781890869,-0.6132528781890869,-0.6132528781890869,-0.6132528781890869
traffic,chronos-forecasting,LTC_step,0.14717508852481842,0.14717508852481842,0.14717508852481842,0.14717508852481842
traffic,chronos-forecasting,PDS_spearman_mae_h96_score,-0.06916771572442204,-0.06916771572442204,-0.06916771572442204,-0.06916771572442204
traffic,chronos-forecasting,TSI_mask,1.0,1.0,1.0,1.0
traffic,chronos-forecasting,TSI_noise,1.0,1.0,1.0,1.0
traffic,chronos-forecasting,TSI_warp,0.0,0.0,0.0,0.0
traffic,moment,FSS_spearman_h96_score,-0.36609359642931677,-0.36609359642931677,-0.36609359642931677,-0.36609359642931677
traffic,moment,GSP_mask,0.0,0.0,0.0,0.0
traffic,moment,GSP_noise,0.0,0.0,0.0,0.0
traffic,moment,GSP_warp,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884
traffic,moment,LCS_clean,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884
traffic,moment,LCS_mask,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884
traffic,moment,LCS_noise,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884,-0.03654494136571884
traffic,moment,LCS_warp,0.0,0.0,0.0,0.0
traffic,moment,LTC_dir,-0.738660454750061,-0.738660454750061,-0.738660454750061,-0.738660454750061
traffic,moment,LTC_step,2.818969488143921,2.818969488143921,2.818969488143921,2.818969488143921
