dataset,model,metric,best,median,mean,worst
csi300,chronos-forecasting_random-reset,CSS_seasonality_bal_acc,0.7181818181818183,0.7181818181818183,0.7181818181818183,0.7181818181818183
csi300,chronos-forecasting_random-reset,CSS_seasonality_margin,0.5099938853419739,0.5099938853419739,0.5099938853419739,0.5099938853419739
csi300,chronos-forecasting_random-reset,CSS_seasonality_pvalue,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164
csi300,chronos-forecasting_random-reset,CSS_trend_bal_acc,0.3727272727272727,0.3727272727272727,0.3727272727272727,0.3727272727272727
csi300,chronos-forecasting_random-reset,CSS_trend_margin,0.513441367919493,0.513441367919493,0.513441367919493,0.513441367919493
csi300,chronos-forecasting_random-reset,CSS_trend_pvalue,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459
csi300,chronos-forecasting_random-reset,CSS_volatility_bal_acc,0.3318181818181818,0.3318181818181818,0.3318181818181818,0.3318181818181818
csi300,chronos-forecasting_random-reset,CSS_volatility_margin,0.510309011600424,0.510309011600424,0.510309011600424,0.510309011600424
csi300,chronos-forecasting_random-reset,CSS_volatility_pvalue,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475
csi300,lightgts_random-reset,CSS_seasonality_bal_acc,0.5772727272727273,0.5772727272727273,0.5772727272727273,0.5772727272727273
csi300,lightgts_random-reset,CSS_seasonality_margin,0.7526079825140302,0.7526079825140302,0.7526079825140302,0.7526079825140302
csi300,lightgts_random-reset,CSS_seasonality_pvalue,0.2459016393442623,0.2459016393442623,0.2459016393442623,0.2459016393442623
csi300,lightgts_random-reset,CSS_trend_bal_acc,0.37727272727272726,0.37727272727272726,0.37727272727272726,0.37727272727272726
csi300,lightgts_random-reset,CSS_trend_margin,0.7819176612231405,0.7819176612231405,0.7819176612231405,0.7819176612231405
csi300,lightgts_random-reset,CSS_trend_pvalue,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.8852459016393442
csi300,lightgts_random-reset,CSS_volatility_bal_acc,0.34090909090909094,0.34090909090909094,0.34090909090909094,0.34090909090909094
csi300,lightgts_random-reset,CSS_volatility_margin,0.7339540843927147,0.7339540843927147,0.7339540843927147,0.7339540843927147
csi300,lightgts_random-reset,CSS_volatility_pvalue,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934
csi300,moment_random-reset,CSS_seasonality_bal_acc,0.6272727272727273,0.6272727272727273,0.6272727272727273,0.6272727272727273
csi300,moment_random-reset,CSS_seasonality_margin,0.7342373831882087,0.7342373831882087,0.7342373831882087,0.7342373831882087
csi300,moment_random-reset,CSS_seasonality_pvalue,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.18032786885245902
csi300,moment_random-reset,CSS_trend_bal_acc,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.38636363636363635
csi300,moment_random-reset,CSS_trend_margin,0.704065825587684,0.704065825587684,0.704065825587684,0.704065825587684
csi300,moment_random-reset,CSS_trend_pvalue,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951
