Dataset,Horizon,FSS_Pretrained,PDS_Pretrained,FSS_Random,PDS_Random,LTC_step_Pretrained,LTC_step_Random,LTC_dir_Pretrained,LTC_dir_Random,LLS_Pretrained,LLS_Random,MCS_Pretrained,MCS_Random,TCS_Pretrained,TCS_Random,CSS_trend_Pretrained,CSS_trend_Random,CSS_season_Pretrained,CSS_season_Random,CSS_vol_Pretrained,CSS_vol_Random
ett,96,"0.003 [0.003, 0.003]","-0.053 [-0.058, -0.052]","0.013 [0.013, 0.013]","0.051 [0.037, 0.052]","5.017 [5.017, 5.017]","3.698 [3.698, 3.698]","-0.336 [-0.336, -0.336]","-0.428 [-0.428, -0.428]","0.250 [0.250, 0.250]","0.293 [0.293, 0.293]","0.990 [0.990, 0.990]","0.971 [0.971, 0.971]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.718 [0.718, 0.718]","0.747 [0.747, 0.747]","0.776 [0.776, 0.776]","0.728 [0.728, 0.728]","0.680 [0.680, 0.680]","0.650 [0.650, 0.650]"
ett,192,"0.010 [0.010, 0.010]","-0.099 [-0.104, -0.089]","0.007 [0.007, 0.007]","-0.005 [-0.018, 0.003]","5.017 [5.017, 5.017]","3.698 [3.698, 3.698]","-0.336 [-0.336, -0.336]","-0.428 [-0.428, -0.428]","0.250 [0.250, 0.250]","0.293 [0.293, 0.293]","0.990 [0.990, 0.990]","0.971 [0.971, 0.971]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.718 [0.718, 0.718]","0.747 [0.747, 0.747]","0.776 [0.776, 0.776]","0.728 [0.728, 0.728]","0.680 [0.680, 0.680]","0.650 [0.650, 0.650]"
ett,336,"-0.005 [-0.005, -0.005]","-0.070 [-0.078, -0.063]","0.026 [0.026, 0.026]","0.033 [0.027, 0.040]","5.017 [5.017, 5.017]","3.698 [3.698, 3.698]","-0.336 [-0.336, -0.336]","-0.428 [-0.428, -0.428]","0.250 [0.250, 0.250]","0.293 [0.293, 0.293]","0.990 [0.990, 0.990]","0.971 [0.971, 0.971]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.718 [0.718, 0.718]","0.747 [0.747, 0.747]","0.776 [0.776, 0.776]","0.728 [0.728, 0.728]","0.680 [0.680, 0.680]","0.650 [0.650, 0.650]"
ett,720,"0.009 [0.009, 0.009]","-0.041 [-0.053, -0.028]","0.017 [0.017, 0.017]","0.006 [-0.002, 0.008]","5.017 [5.017, 5.017]","3.698 [3.698, 3.698]","-0.336 [-0.336, -0.336]","-0.428 [-0.428, -0.428]","0.250 [0.250, 0.250]","0.293 [0.293, 0.293]","0.990 [0.990, 0.990]","0.971 [0.971, 0.971]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.718 [0.718, 0.718]","0.747 [0.747, 0.747]","0.776 [0.776, 0.776]","0.728 [0.728, 0.728]","0.680 [0.680, 0.680]","0.650 [0.650, 0.650]"
ett,avg,"0.012 [0.012, 0.012]","-0.039 [-0.060, -0.023]","0.009 [0.009, 0.009]","0.272 [0.259, 0.273]","5.017 [5.017, 5.017]","3.698 [3.698, 3.698]","-0.336 [-0.336, -0.336]","-0.428 [-0.428, -0.428]","0.250 [0.250, 0.250]","0.293 [0.293, 0.293]","0.990 [0.990, 0.990]","0.971 [0.971, 0.971]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.718 [0.718, 0.718]","0.747 [0.747, 0.747]","0.776 [0.776, 0.776]","0.728 [0.728, 0.728]","0.680 [0.680, 0.680]","0.650 [0.650, 0.650]"
traffic,96,"-0.130 [-0.130, -0.130]","-0.239 [-0.241, -0.235]","-0.249 [-0.249, -0.249]","-0.025 [-0.027, -0.018]","3.765 [3.765, 3.765]","2.552 [2.552, 2.552]","-0.493 [-0.493, -0.493]","-0.441 [-0.441, -0.441]","0.303 [0.303, 0.303]","0.352 [0.352, 0.352]","0.990 [0.990, 0.990]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.650 [0.650, 0.650]","0.486 [0.486, 0.486]","0.826 [0.826, 0.826]","0.710 [0.710, 0.710]","0.670 [0.670, 0.670]","0.621 [0.621, 0.621]"
traffic,192,"-0.103 [-0.103, -0.103]","-0.173 [-0.182, -0.167]","-0.078 [-0.078, -0.078]","-0.189 [-0.195, -0.186]","3.765 [3.765, 3.765]","2.552 [2.552, 2.552]","-0.493 [-0.493, -0.493]","-0.441 [-0.441, -0.441]","0.303 [0.303, 0.303]","0.352 [0.352, 0.352]","0.990 [0.990, 0.990]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.650 [0.650, 0.650]","0.486 [0.486, 0.486]","0.826 [0.826, 0.826]","0.710 [0.710, 0.710]","0.670 [0.670, 0.670]","0.621 [0.621, 0.621]"
traffic,336,"-0.073 [-0.073, -0.073]","-0.212 [-0.217, -0.203]","-0.232 [-0.232, -0.232]","0.064 [0.054, 0.069]","3.765 [3.765, 3.765]","2.552 [2.552, 2.552]","-0.493 [-0.493, -0.493]","-0.441 [-0.441, -0.441]","0.303 [0.303, 0.303]","0.352 [0.352, 0.352]","0.990 [0.990, 0.990]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.650 [0.650, 0.650]","0.486 [0.486, 0.486]","0.826 [0.826, 0.826]","0.710 [0.710, 0.710]","0.670 [0.670, 0.670]","0.621 [0.621, 0.621]"
traffic,720,"-0.129 [-0.129, -0.129]","-0.179 [-0.182, -0.167]","-0.294 [-0.294, -0.294]","0.135 [0.112, 0.147]","3.765 [3.765, 3.765]","2.552 [2.552, 2.552]","-0.493 [-0.493, -0.493]","-0.441 [-0.441, -0.441]","0.303 [0.303, 0.303]","0.352 [0.352, 0.352]","0.990 [0.990, 0.990]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.650 [0.650, 0.650]","0.486 [0.486, 0.486]","0.826 [0.826, 0.826]","0.710 [0.710, 0.710]","0.670 [0.670, 0.670]","0.621 [0.621, 0.621]"
traffic,avg,"-0.045 [-0.045, -0.045]","-0.250 [-0.280, -0.197]","-0.123 [-0.123, -0.123]","-0.077 [-0.098, -0.045]","3.765 [3.765, 3.765]","2.552 [2.552, 2.552]","-0.493 [-0.493, -0.493]","-0.441 [-0.441, -0.441]","0.303 [0.303, 0.303]","0.352 [0.352, 0.352]","0.990 [0.990, 0.990]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.650 [0.650, 0.650]","0.486 [0.486, 0.486]","0.826 [0.826, 0.826]","0.710 [0.710, 0.710]","0.670 [0.670, 0.670]","0.621 [0.621, 0.621]"
