dataset,ltc_pretrained,ltc_random_reset,ltc_delta_pre_minus_random,expectation_pre_gt_random,seed
weather,9.876443862915039,9.003153800964355,0.8732900619506836,1.0,42.0
electricity,0.5683679580688477,1.5329420566558838,-0.9645740985870361,0.0,43.0
ett,8.735672950744629,8.134617805480957,0.6010551452636719,1.0,44.0
traffic,5.776063919067383,6.417862415313721,-0.6417984962463379,0.0,45.0
csi300,4.078106880187988,5.955741882324219,-1.8776350021362305,0.0,46.0
csi800,4.078106880187988,5.524401664733887,-1.4462947845458984,0.0,47.0
