dataset,model,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
csi800,lightgts,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,lightgts,na,na,na,na,0.0,0.0,0.0,elapsed_sec,24.7517
csi800,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,elapsed_sec,43.887
csi800,sundial,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,sundial,na,na,na,na,0.0,0.0,0.0,elapsed_sec,36.6242
csi800,time-moe,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,time-moe,na,na,na,na,0.0,0.0,0.0,elapsed_sec,48.2602
csi800,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,elapsed_sec,59.0773
csi800,moment,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,moment,na,na,na,na,0.0,0.0,0.0,elapsed_sec,30.3246
csi800,unitime,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,unitime,na,na,na,na,0.0,0.0,0.0,elapsed_sec,37.1677
csi800,patchtst,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,patchtst,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.7942
csi800,time-series-library,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,time-series-library,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.555
csi800,tslib,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,tslib,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.7002
csi800,itransformer,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,itransformer,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.7962
csi800,ltsf-linear,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,ltsf-linear,na,na,na,na,0.0,0.0,0.0,elapsed_sec,22.4002
csi800,neuralforecast,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,neuralforecast,na,na,na,na,0.0,0.0,0.0,elapsed_sec,60.2941
csi800,large-time-series-model,na,na,na,na,0.0,0.0,0.0,success,1.0
csi800,large-time-series-model,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.9803
