dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.23251274228096008
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.03903357312083244
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.22811052203178406
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.30040794610977173
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9691387414932251
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9996825456619263
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9921950697898865
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.19347916916012764
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.004402220249176025
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.06789520382881165
weather,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,4597.09619140625
weather,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.3563445210456848
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.08777352987753377
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.08777352987753377
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.0994228510105999
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.07468865302126271
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,2.2407342924402578e-35
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.07324727840645422
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.07324727840645422
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.20665468284722902
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.06132823223297579
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.2428913108500351
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.07324727840645422
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.07324727840645422
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.20665468284722902
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.06132823223297579
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.2428913108500351
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.07379616962154073
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.07379616962154073
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.22274051334747197
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.08002897797993416
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.23936904571774364
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.07379616962154073
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.07379616962154073
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.22274051334747197
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.08002897797993416
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.23936904571774364
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.0670212633200752
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.0670212633200752
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.21533349506998675
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.08000821381503662
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.2853879173118948
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.0670212633200752
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.0670212633200752
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.21533349506998675
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.08000821381503662
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.2853879173118948
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_score,0.04897644370794296
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_raw_corr,-0.04897644370794296
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_low,0.037874923087656505
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_high,0.05979192843660712
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_pvalue,4.623415799515085e-12
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_score,0.0988656927990714
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,-0.0988656927990714
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,0.05937339824387512
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.1354403848691612
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.11457064973058834
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_score,0.05398836430071795
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,-0.05398836430071795
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,0.033615138929461434
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,0.07460267478206087
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.3896710658520806
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_score,0.10032151268913075
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,-0.10032151268913075
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,0.057614886535981805
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.14266910721622225
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.10930357312550161
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_score,0.054936137961373345
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,-0.054936137961373345
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,0.0322769801791411
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,0.08177369074099858
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.3813900889864163
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_score,0.1010174359674119
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,-0.1010174359674119
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,0.05992434680822468
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.14480764958687123
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.10685393085843449
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_score,0.055399811188305476
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,-0.055399811188305476
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,0.03389433765189335
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,0.07896050590407733
weather,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.37737825161283867
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_score,-0.036675686186162376
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_raw_corr,0.036675686186162376
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_ci_low,-0.05020472937131186
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_ci_high,-0.02331642900208972
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_pvalue,2.2645257519555126e-07
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h192_score,-0.17499983543337544
