seed,pre_pds,rnd_pds,pre_fss,rnd_fss,gap_pds,gap_fss,gap_sum
0,0.122744324919998,0.1215859883591328,0.0244110822703769,0.0860337870253402,0.0011583365608651974,-0.0616227047549633,-0.0604643681940981
1,0.122744324919998,0.1215401986495001,0.0039145097155385,0.0862398298465407,0.0012041262704979017,-0.0823253201310022,-0.0811211938605043
2,0.122744324919998,0.1222585247193634,0.025233101812507,0.089941203937148,0.0004858002006346007,-0.064708102124641,-0.0642223019240064
3,0.122744324919998,0.1264439903654792,0.0156645776872322,0.0811212784082141,-0.0036996654454812122,-0.0654567007209819,-0.06915636616646312
4,0.122744324919998,0.1198974928164262,0.0192052686211557,0.0935978212459785,0.0028468321035717975,-0.0743925526248228,-0.07154572052125101
5,0.122744324919998,0.1238926449818811,0.018452272142874,0.0889204307376914,-0.001148320061883104,-0.0704681585948174,-0.07161647865670051
6,0.122744324919998,0.124330509080244,0.0129659876239288,0.0886315414600833,-0.0015861841602460014,-0.0756655538361545,-0.0772517379964005
7,0.122744324919998,0.126810308042541,0.0079664050212485,0.0965690260267329,-0.004065983122543013,-0.0886026210054844,-0.09266860412802741
8,0.122744324919998,0.1383099643382709,0.0134282233746576,0.0874683732574038,-0.015565639418272895,-0.0740401498827462,-0.08960578930101909
9,0.122744324919998,0.1202495012092278,0.0164725038405866,0.083053182384707,0.0024948237107702,-0.0665806785441204,-0.0640858548333502
