seed,pre_pds,rnd_pds,pre_fss,rnd_fss,gap_pds,gap_fss,gap_sum
0,0.3353170061799038,-0.2144104772259097,0.0469994930794269,0.0787225946821743,0.5497274834058135,-0.0317231016027474,0.5180043818030661
1,0.3353170061799038,-0.227268825818265,0.0360475252039736,0.0796357052381453,0.5625858319981688,-0.0435881800341717,0.5189976519639972
2,0.3353170061799038,-0.251826791027695,0.0305645034549469,0.0776895977355992,0.5871437972075988,-0.047125094280652306,0.5400187029269465
3,0.3353170061799038,-0.2260035191119248,0.0273171475928399,0.0778247780984212,0.5613205252918285,-0.0505076305055813,0.5108128947862473
4,0.3353170061799038,-0.2242611295490958,0.0312235363198208,0.0729642556206165,0.5595781357289996,-0.04174071930079569,0.5178374164282039
5,0.3353170061799038,-0.2294282158388646,0.0427231229904719,0.0876866323966376,0.5647452220187684,-0.0449635094061657,0.5197817126126028
6,0.3353170061799038,-0.2430375944151979,0.0430943318237052,0.0925599011692138,0.5783546005951017,-0.049465569345508595,0.5288890312495931
7,0.3353170061799038,-0.2305232890821697,0.0328989847621683,0.0805129474789407,0.5658402952620735,-0.047613962716772394,0.518226332545301
8,0.3353170061799038,-0.2229521915770198,0.019656258712877,0.0884026613602454,0.5582691977569236,-0.0687464026473684,0.4895227951095552
9,0.3353170061799038,-0.2378047035934996,0.0329351394968667,0.0784289852457382,0.5731217097734034,-0.0454938457488715,0.5276278640245319
