dataset,weight_mode,label_mode,metric,best,median,mean,worst
etth1,pretrained,na,CSS_seasonality_bal_acc,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769
etth1,pretrained,na,CSS_seasonality_margin,0.6280626138880928,0.6280626138880928,0.6280626138880928,0.6280626138880928
etth1,pretrained,na,CSS_seasonality_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
etth1,pretrained,na,CSS_trend_bal_acc,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.5576923076923077
etth1,pretrained,na,CSS_trend_margin,0.5670053045967417,0.5670053045967417,0.5670053045967417,0.5670053045967417
etth1,pretrained,na,CSS_trend_pvalue,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
etth1,pretrained,na,CSS_volatility_bal_acc,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.7115384615384616
etth1,pretrained,na,CSS_volatility_margin,0.596624024523536,0.596624024523536,0.596624024523536,0.596624024523536
etth1,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
etth1,pretrained,na,FSS_pearson_h192_ci_high,-0.010932248760946095,-0.010932248760946095,-0.010932248760946095,-0.010932248760946095
etth1,pretrained,na,FSS_pearson_h192_ci_low,-0.039896930847316964,-0.039896930847316964,-0.039896930847316964,-0.039896930847316964
etth1,pretrained,na,FSS_pearson_h192_pvalue,0.00035141996340826154,0.00035141996340826154,0.00035141996340826154,0.00035141996340826154
etth1,pretrained,na,FSS_pearson_h192_raw_corr,0.025328589603304863,0.025328589603304863,0.025328589603304863,0.025328589603304863
etth1,pretrained,na,FSS_pearson_h192_score,-0.025328589603304863,-0.025328589603304863,-0.025328589603304863,-0.025328589603304863
etth1,pretrained,na,FSS_pearson_h336_ci_high,0.03572994694113731,0.03572994694113731,0.03572994694113731,0.03572994694113731
etth1,pretrained,na,FSS_pearson_h336_ci_low,0.013026469433680177,0.013026469433680177,0.013026469433680177,0.013026469433680177
etth1,pretrained,na,FSS_pearson_h336_pvalue,0.0005390011938288808,0.0005390011938288808,0.0005390011938288808,0.0005390011938288808
etth1,pretrained,na,FSS_pearson_h336_raw_corr,-0.02451574243605137,-0.02451574243605137,-0.02451574243605137,-0.02451574243605137
etth1,pretrained,na,FSS_pearson_h336_score,0.02451574243605137,0.02451574243605137,0.02451574243605137,0.02451574243605137
etth1,pretrained,na,FSS_pearson_h720_ci_high,0.03454405823722482,0.03454405823722482,0.03454405823722482,0.03454405823722482
etth1,pretrained,na,FSS_pearson_h720_ci_low,0.012033685762435197,0.012033685762435197,0.012033685762435197,0.012033685762435197
etth1,pretrained,na,FSS_pearson_h720_pvalue,0.0013168116565793753,0.0013168116565793753,0.0013168116565793753,0.0013168116565793753
etth1,pretrained,na,FSS_pearson_h720_raw_corr,-0.02275036834180355,-0.02275036834180355,-0.02275036834180355,-0.02275036834180355
etth1,pretrained,na,FSS_pearson_h720_score,0.02275036834180355,0.02275036834180355,0.02275036834180355,0.02275036834180355
etth1,pretrained,na,FSS_pearson_h96_ci_high,-0.0347477356903255,-0.0347477356903255,-0.0347477356903255,-0.0347477356903255
etth1,pretrained,na,FSS_pearson_h96_ci_low,-0.06515165194869041,-0.06515165194869041,-0.06515165194869041,-0.06515165194869041
etth1,pretrained,na,FSS_pearson_h96_pvalue,4.509884219544569e-12,4.509884219544569e-12,4.509884219544569e-12,4.509884219544569e-12
etth1,pretrained,na,FSS_pearson_h96_raw_corr,0.049001313745975494,0.049001313745975494,0.049001313745975494,0.049001313745975494
etth1,pretrained,na,FSS_pearson_h96_score,-0.049001313745975494,-0.049001313745975494,-0.049001313745975494,-0.049001313745975494
etth1,pretrained,na,FSS_pearson_havg_ci_high,0.036118284426629545,0.036118284426629545,0.036118284426629545,0.036118284426629545
etth1,pretrained,na,FSS_pearson_havg_ci_low,0.01247162825893611,0.01247162825893611,0.01247162825893611,0.01247162825893611
etth1,pretrained,na,FSS_pearson_havg_pvalue,0.0006945117493160069,0.0006945117493160069,0.0006945117493160069,0.0006945117493160069
etth1,pretrained,na,FSS_pearson_havg_raw_corr,-0.02402094192802906,-0.02402094192802906,-0.02402094192802906,-0.02402094192802906
etth1,pretrained,na,FSS_pearson_havg_score,0.02402094192802906,0.02402094192802906,0.02402094192802906,0.02402094192802906
etth1,pretrained,na,FSS_spearman_h192_ci_high,0.0008372097107432531,0.0008372097107432531,0.0008372097107432531,0.0008372097107432531
etth1,pretrained,na,FSS_spearman_h192_ci_low,-0.026209998741055025,-0.026209998741055025,-0.026209998741055025,-0.026209998741055025
etth1,pretrained,na,FSS_spearman_h192_pvalue,0.07962255212031925,0.07962255212031925,0.07962255212031925,0.07962255212031925
etth1,pretrained,na,FSS_spearman_h192_raw_corr,0.012423642929666218,0.012423642929666218,0.012423642929666218,0.012423642929666218
etth1,pretrained,na,FSS_spearman_h192_score,-0.012423642929666218,-0.012423642929666218,-0.012423642929666218,-0.012423642929666218
etth1,pretrained,na,FSS_spearman_h336_ci_high,0.011799178324698234,0.011799178324698234,0.011799178324698234,0.011799178324698234
etth1,pretrained,na,FSS_spearman_h336_ci_low,-0.015132675987796829,-0.015132675987796829,-0.015132675987796829,-0.015132675987796829
etth1,pretrained,na,FSS_spearman_h336_pvalue,0.8030956724125621,0.8030956724125621,0.8030956724125621,0.8030956724125621
etth1,pretrained,na,FSS_spearman_h336_raw_corr,0.0017666770778144597,0.0017666770778144597,0.0017666770778144597,0.0017666770778144597
etth1,pretrained,na,FSS_spearman_h336_score,-0.0017666770778144597,-0.0017666770778144597,-0.0017666770778144597,-0.0017666770778144597
etth1,pretrained,na,FSS_spearman_h720_ci_high,0.012700077450972605,0.012700077450972605,0.012700077450972605,0.012700077450972605
etth1,pretrained,na,FSS_spearman_h720_ci_low,-0.015616019208161906,-0.015616019208161906,-0.015616019208161906,-0.015616019208161906
etth1,pretrained,na,FSS_spearman_h720_pvalue,0.7931331031729855,0.7931331031729855,0.7931331031729855,0.7931331031729855
etth1,pretrained,na,FSS_spearman_h720_raw_corr,0.0018575293623481275,0.0018575293623481275,0.0018575293623481275,0.0018575293623481275
etth1,pretrained,na,FSS_spearman_h720_score,-0.0018575293623481275,-0.0018575293623481275,-0.0018575293623481275,-0.0018575293623481275
etth1,pretrained,na,FSS_spearman_h96_ci_high,-0.02335913556481456,-0.02335913556481456,-0.02335913556481456,-0.02335913556481456
etth1,pretrained,na,FSS_spearman_h96_ci_low,-0.049502933146638235,-0.049502933146638235,-0.049502933146638235,-0.049502933146638235
etth1,pretrained,na,FSS_spearman_h96_pvalue,1.5899194817409986e-07,1.5899194817409986e-07,1.5899194817409986e-07,1.5899194817409986e-07
etth1,pretrained,na,FSS_spearman_h96_raw_corr,0.03712641892473759,0.03712641892473759,0.03712641892473759,0.03712641892473759
etth1,pretrained,na,FSS_spearman_h96_score,-0.03712641892473759,-0.03712641892473759,-0.03712641892473759,-0.03712641892473759
etth1,pretrained,na,FSS_spearman_havg_ci_high,0.01344774583386898,0.01344774583386898,0.01344774583386898,0.01344774583386898
etth1,pretrained,na,FSS_spearman_havg_ci_low,-0.013849992756486788,-0.013849992756486788,-0.013849992756486788,-0.013849992756486788
etth1,pretrained,na,FSS_spearman_havg_pvalue,0.9545246208911445,0.9545246208911445,0.9545246208911445,0.9545246208911445
etth1,pretrained,na,FSS_spearman_havg_raw_corr,0.00040392579613069465,0.00040392579613069465,0.00040392579613069465,0.00040392579613069465
etth1,pretrained,na,FSS_spearman_havg_score,-0.00040392579613069465,-0.00040392579613069465,-0.00040392579613069465,-0.00040392579613069465
etth1,pretrained,na,LLS_avgk,0.18541531602386385,0.18541531602386385,0.18541531602386385,0.18541531602386385
etth1,pretrained,na,LLS_k10,0.23846222640713677,0.23846222640713677,0.23846222640713677,0.23846222640713677
etth1,pretrained,na,LLS_k20,0.17396298496169038,0.17396298496169038,0.17396298496169038,0.17396298496169038
etth1,pretrained,na,LLS_k50,0.1438207367027644,0.1438207367027644,0.1438207367027644,0.1438207367027644
etth1,pretrained,na,LTC_dir,-0.47640201449394226,-0.47640201449394226,-0.47640201449394226,-0.47640201449394226
etth1,pretrained,na,LTC_step,0.9673710465431213,0.9673710465431213,0.9673710465431213,0.9673710465431213
etth1,pretrained,na,MCS_k10,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.9807692307692307
etth1,pretrained,na,MCS_k20,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.9807692307692307
etth1,pretrained,na,MCS_k50,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.9807692307692307
etth1,pretrained,na,PDS_pearson_mae_h192_ci_high,-0.041000538428372174,-0.04330821964234353,-0.04447292946544829,-0.04911003032562919
etth1,pretrained,na,PDS_pearson_mae_h192_ci_low,-0.2885507547782064,-0.29002684192930744,-0.2910899799308092,-0.29469234308491377
etth1,pretrained,na,PDS_pearson_mae_h192_pvalue,0.009918173224704821,0.007994577280601206,0.00824426917340316,0.006820057014903456
etth1,pretrained,na,PDS_pearson_mae_h192_raw_corr,0.1687059774915891,0.16543450116239014,0.16501441869939354,0.16090277744420137
etth1,pretrained,na,PDS_pearson_mae_h192_score,-0.16090277744420137,-0.16543450116239014,-0.16501441869939354,-0.1687059774915891
etth1,pretrained,na,PDS_pearson_mae_h336_ci_high,-0.013295614671608396,-0.013360221764055463,-0.01390276989207949,-0.015052473240574614
etth1,pretrained,na,PDS_pearson_mae_h336_ci_low,-0.26960180847677745,-0.27255125339146685,-0.27324924976052767,-0.27759468741333876
etth1,pretrained,na,PDS_pearson_mae_h336_pvalue,0.022464383201729395,0.017399986306784146,0.018238078071796608,0.014849864706876282
etth1,pretrained,na,PDS_pearson_mae_h336_raw_corr,0.15210867110970056,0.1485355330306062,0.14775453582690024,0.14261940334039397
etth1,pretrained,na,PDS_pearson_mae_h336_score,-0.14261940334039397,-0.1485355330306062,-0.14775453582690024,-0.15210867110970056
etth1,pretrained,na,PDS_pearson_mae_h720_ci_high,0.1187488569783826,0.09820063813666115,0.09915400854802636,0.08051253052903537
etth1,pretrained,na,PDS_pearson_mae_h720_ci_low,-0.15556944915955107,-0.17604430969547005,-0.1727035775612018,-0.1864969738285843
etth1,pretrained,na,PDS_pearson_mae_h720_pvalue,0.5248624712144668,0.4094543463623915,0.41795533061180623,0.3195491742585604
etth1,pretrained,na,PDS_pearson_mae_h720_raw_corr,0.062456439572700855,0.051772170339257545,0.05138329329544336,0.03992126997437168
etth1,pretrained,na,PDS_pearson_mae_h720_score,-0.03992126997437168,-0.051772170339257545,-0.05138329329544336,-0.062456439572700855
etth1,pretrained,na,PDS_pearson_mae_h96_ci_high,-0.06052416503762084,-0.07545221164385209,-0.07304223439626391,-0.08315032650731881
etth1,pretrained,na,PDS_pearson_mae_h96_ci_low,-0.34577192650796773,-0.3510798100986497,-0.3498853111955209,-0.35280419697994536
etth1,pretrained,na,PDS_pearson_mae_h96_pvalue,0.0006129698882683363,0.0004810296689308985,0.0004899458546734494,0.0003758380068211136
etth1,pretrained,na,PDS_pearson_mae_h96_raw_corr,0.22061548938220235,0.21665692092352412,0.21665706758313377,0.2126987924436749
etth1,pretrained,na,PDS_pearson_mae_h96_score,-0.2126987924436749,-0.21665692092352412,-0.21665706758313377,-0.22061548938220235
etth1,pretrained,na,PDS_pearson_mae_havg_ci_high,0.035332703446859036,0.03477951822629706,0.028563244039914157,0.015577510446586375
etth1,pretrained,na,PDS_pearson_mae_havg_ci_low,-0.2337088511308337,-0.2531401628850036,-0.2506239258987921,-0.265022763680539
etth1,pretrained,na,PDS_pearson_mae_havg_pvalue,0.09130690063776199,0.07155304294294511,0.07200133822620498,0.05314407109790786
etth1,pretrained,na,PDS_pearson_mae_havg_raw_corr,0.1210069845946264,0.11281426531032442,0.11319221257455998,0.10575538781872916
etth1,pretrained,na,PDS_pearson_mae_havg_score,-0.10575538781872916,-0.11281426531032442,-0.11319221257455998,-0.1210069845946264
etth1,pretrained,na,PDS_pearson_mse_h192_ci_high,-0.02992431255831413,-0.03177230626484544,-0.03278393603620233,-0.036655189285447434
etth1,pretrained,na,PDS_pearson_mse_h192_ci_low,-0.3225427011737376,-0.3237891171753018,-0.32553471800793715,-0.330272335674772
etth1,pretrained,na,PDS_pearson_mse_h192_pvalue,0.013193461294804941,0.010301993716342038,0.010528257603413959,0.008089317799094898
etth1,pretrained,na,PDS_pearson_mse_h192_raw_corr,0.165189684278587,0.16009321775401641,0.16000419831666604,0.15472969291739477
etth1,pretrained,na,PDS_pearson_mse_h192_score,-0.15472969291739477,-0.16009321775401641,-0.16000419831666604,-0.165189684278587
etth1,pretrained,na,PDS_pearson_mse_h336_ci_high,-0.01396022092917963,-0.015204540470956348,-0.018401684874758465,-0.02604029322413942
etth1,pretrained,na,PDS_pearson_mse_h336_ci_low,-0.2784419097835529,-0.28357521750655706,-0.2840582441474426,-0.29015760515221767
etth1,pretrained,na,PDS_pearson_mse_h336_pvalue,0.02569304430206401,0.019961523159381267,0.02101125707691484,0.017379203769299245
etth1,pretrained,na,PDS_pearson_mse_h336_raw_corr,0.14856274836992173,0.14537982301822017,0.14445648293807337,0.13942687742607823
etth1,pretrained,na,PDS_pearson_mse_h336_score,-0.13942687742607823,-0.14537982301822017,-0.14445648293807337,-0.14856274836992173
etth1,pretrained,na,PDS_pearson_mse_h720_ci_high,0.14829853611992652,0.13580742901026513,0.13318212446932345,0.11544040827777867
etth1,pretrained,na,PDS_pearson_mse_h720_ci_low,-0.12477454867963927,-0.14348736217470665,-0.13932413014640568,-0.1497104795848711
etth1,pretrained,na,PDS_pearson_mse_h720_pvalue,0.9735319428215015,0.887134486379074,0.8740481528180594,0.761478029253603
etth1,pretrained,na,PDS_pearson_mse_h720_raw_corr,0.019062843808381334,0.008914137126292439,0.00863103509120261,-0.0020838756610659444
etth1,pretrained,na,PDS_pearson_mse_h720_score,0.0020838756610659444,-0.008914137126292439,-0.00863103509120261,-0.019062843808381334
etth1,pretrained,na,PDS_pearson_mse_h96_ci_high,-0.07318717993396118,-0.09833137993396268,-0.0924519565615512,-0.10583730981672972
etth1,pretrained,na,PDS_pearson_mse_h96_ci_low,-0.40981328503520426,-0.41144314632866147,-0.41401649952759056,-0.42079306721890597
etth1,pretrained,na,PDS_pearson_mse_h96_pvalue,4.812338603353124e-05,3.300976224962392e-05,3.441084746633174e-05,2.209939411584007e-05
etth1,pretrained,na,PDS_pearson_mse_h96_raw_corr,0.26180126521307145,0.2563821783290372,0.25645436316649617,0.2511796459573798
