seed,pre_pds,rnd_pds,pre_fss,rnd_fss,gap_pds,gap_fss,gap_sum
0,0.0929159990844586,0.0341632810711833,-0.0129000989197455,0.1100121222299287,0.05875271801327531,-0.1229122211496742,-0.0641595031363989
1,0.0929159990844586,0.0322456511787594,-0.0155448008387623,0.1548277902702495,0.0606703479056992,-0.17037259110901182,-0.10970224320331262
2,0.0929159990844586,-0.0054059853513389,-0.0159298019613135,0.101400203154448,0.09832198443579751,-0.1173300051157615,-0.01900802067996399
3,0.0929159990844586,0.0014190890363927,-0.0146188333064225,0.1513020721305532,0.0914969100480659,-0.16592090543697569,-0.07442399538890979
4,0.0929159990844586,0.0475645170519569,0.0030361943088354,0.0871082453594335,0.04535148203250171,-0.0840720510505981,-0.038720569018096396
5,0.0929159990844586,0.0339107919432364,-0.0083298345787888,0.110551525119792,0.059005207141222205,-0.1188813596985808,-0.05987615255735859
6,0.0929159990844586,0.0180890936140993,-0.0018853675064086,0.1217017950846109,0.0748269054703593,-0.1235871625910195,-0.04876025712066019
7,0.0929159990844586,0.0433988040741588,-0.0081875532323371,0.1634207510423097,0.0495171950102998,-0.1716083042746468,-0.12209110926434699
8,0.0929159990844586,0.0567471103227283,-0.0057441717207634,0.1060400616242654,0.03616888876173031,-0.1117842333450288,-0.0756153445832985
9,0.0929159990844586,0.0020642595559624,-0.0017085967190925,0.1454972992107891,0.0908517395284962,-0.1472058959298816,-0.056354156401385386
